ZONE,ENTITY,SUB_ENTITY,RAW_FILENAME,FILE_SIZE
Europe,FR-001,Antony-PF,ae3d4d46/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO2/JobStateHistory/2020_07_04_JobState_28213.log/20200704_140240_884.zip,2035
Europe,FR-001,Antony-PF,64c28720/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_03_JobState_28266.log/20200703_075408_918.zip,2033
Europe,FR-001,Antony-PF,56a4982d/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO2/JobStateHistory/2020_07_04_JobState_28213.log/20200704_120236_886.zip,2022
Europe,FR-001,Antony-PF,0e155f6a/Europe/Antony/2020/07/05/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_04_JobState_28266.log/20200705_000211_876.zip,2014
Europe,FR-001,Antony-PF,3cd83ef2/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_03_JobState_28180.log/20200703_195515_929.zip,1951
Europe,FR-001,Antony-PF,a367aaf9/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_02_JobState_28239.log/20200702_071238_884.zip,1947
Europe,FR-001,Antony-PF,82f4696a/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_02_JobState_28266.log/20200702_160156_572.zip,1946
Europe,FR-001,Antony-PF,83794d46/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_03_JobState_28266.log/20200703_143651_574.zip,1917
Europe,FR-001,Antony-PF,0dfd0e5d/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_02_JobState_28239.log/20200702_191219_884.zip,1912
Europe,FR-001,Antony-PF,843136fb/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_02_JobState_28266.log/20200702_040309_877.zip,1910
Europe,FR-001,Antony-PF,cc8d1856/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_04_JobState_28266.log/20200704_070136_879.zip,1905
Europe,FR-001,Antony-PF,28978384/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_03_JobState_28239.log/20200703_070909_884.zip,1892
Europe,FR-001,Antony-PF,c59d52f2/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_02_JobState_28266.log/20200702_074707_471.zip,1878
Europe,FR-001,Antony-PF,6950950c/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_03_JobState_28266.log/20200703_160126_572.zip,1871
Europe,FR-001,Antony-PF,49434fe8/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_04_JobState_28239.log/20200704_211330_884.zip,1819
Europe,FR-001,Antony-PF,a748b30f/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_04_JobState_28239.log/20200704_031245_884.zip,1819
Europe,FR-001,Antony-PF,544b5dd3/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_04_JobState_28239.log/20200704_064535_884.zip,1817
Europe,FR-001,Antony-PF,55171d6c/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO2/JobStateHistory/2020_07_04_JobState_28213.log/20200704_060221_884.zip,1798
Europe,FR-001,Antony-PF,4a004db0/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_04_JobState_28266.log/20200704_160147_886.zip,1743
Europe,FR-001,Antony-PF,41beab21/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_04_JobState_28239.log/20200704_170547_409.zip,1734
Europe,FR-001,Antony-PF,579b5d21/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO2/Status/2020_07_03_MachineState_28213.log/20200704_015142_884.zip,1678
Europe,FR-001,Antony-PF,297e672d/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_02_JobState_28266.log/20200702_220202_578.zip,1667
Europe,FR-001,Antony-PF,2c5e31c9/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_04_JobState_28239.log/20200704_131251_884.zip,1617
Europe,FR-001,Antony-PF,f0e23c88/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_03_JobState_28266.log/20200703_230157_574.zip,1609
Europe,FR-001,Antony-PF,78983130/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_04_JobState_28239.log/20200704_051255_884.zip,1602
Europe,FR-001,Antony-PF,72d56abd/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_04_JobState_28180.log/20200704_054652_697.zip,1597
Europe,FR-001,Antony-PF,d05c2c22/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_02_JobState_28266.log/20200702_235641_583.zip,1584
Europe,FR-001,Antony-PF,c1510f6e/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_04_JobState_28266.log/20200704_200008_876.zip,1570
Europe,FR-001,Antony-PF,9d2bee59/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_04_JobState_28266.log/20200704_080208_886.zip,1566
Europe,FR-001,Antony-PF,3872d804/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_04_JobState_28180.log/20200704_074827_021.zip,1562
Europe,FR-001,Antony-PF,c798e955/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO2/Status/2020_07_04_MachineState_28213.log/20200704_160308_884.zip,1503
